#No Name	Writer(s) Duration	AlbumId
1	Phaedra Froese, Franke, Baumann 17:39   1
2   Mysterious Semblance at the Strand of Nightmares    Froese  9:55    1
3   Movements of a Visionary    Froese, Franke, Baumann 7:56    1
4   Sequent C   Baumann 2:13    1

1   Rubycon, Part One   Froese, Franke, Baumann 17:18   2
2   Rubycon, Part Two   Froese, Franke, Baumann 17:35   2
